economy,Country,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
CHN,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.32091,
CHL,Chile,,,,,,,,,,,14.616,,10.97,,7.324,,7.3,,7.3,,,,,,,,,,,,,,7.324,
CHI,Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,Chad,,,,,,,,,,,91.58375,,90.45647,,89.32919,,88.20191,,87.07463,,85.94735,,84.82007,,83.69279,,82.56551,,82.0,,82.0,,82.0,
CAF,Central African Republic,,,,,,,,,,,85.96516,,83.12315,,80.28114,,77.43913,,74.59712,,71.75511,,68.9131,,68.9131,,68.9131,,68.9131,,68.9131,,68.9131,
CYM,Cayman Islands,,,,,,,,,,,,,4.15,,4.15,,4.15,,4.15,,4.15,,4.15,,4.15,,4.15,,,,,,5.47921,
CAN,Canada,,,,,,,,,,,0.25,,0.25,,0.25,,0.3,,0.45,,0.5,,0.55,,0.65,,0.7,,0.8,,0.8,,1.09583,
CMR,Cameroon,,,,,,,,,,,65.3638,,62.0946,,58.8254,,55.55619,,52.28699,,49.01779,,45.74859,,42.47939,,39.21019,,35.94099,,32.67179,,32.67179,
KHM,Cambodia,,,,,,,,,,,84.8,,79.2,,73.6,,67.9,,62.3,,56.6,,51.0,,45.4,,39.7,,39.7,,39.7,,42.26983,
CPV,Cabo Verde,,,,,,,,,,,70.86701,,68.62824,,66.26286,,63.82988,,61.43036,,58.95417,,56.46129,,53.93736,,51.40312,,49.20007,,46.67545,,46.41147,
BDI,Burundi,,,,,,,,,,,79.7,,79.7,,77.04306,,71.68054,,66.31802,,60.9555,,55.59298,,50.23046,,44.86794,,39.50542,,36.8,,36.75168,
BFA,Burkina Faso,,,,,,,,,,,82.21152,,76.64539,,71.07927,,65.51314,,59.94701,,54.38089,,48.81476,,43.24863,,37.6825,,32.11638,,26.55025,,87.88175,
BGR,Bulgaria,,,,,,,,,,,0.05,,0.1,,0.1,,0.1,,0.15,,0.15,,0.15,,0.2,,0.2,,0.2,,0.25,,0.19661,
BRN,Brunei Darussalam,,,,,,,,,,,37.41056,,35.7893,,34.12692,,32.35866,,30.56831,,28.77162,,27.04235,,25.29948,,23.5391,,22.43622,,21.72738,,21.59688,
VGB,British Virgin Islands,,,,,,,,,,,3.4601,,3.1657,,2.8713,,2.5769,,2.2824,,1.988,,1.6388,,1.6388,,1.6388,,0.13562,,0.13562,,0.13562,
BRA,Brazil,,,,,,,,,,,34.73978,,31.43266,,28.12555,,24.81844,,21.51132,,18.20421,,14.8971,,14.8971,,14.8971,,,,,,14.8971,
BWA,Botswana,,,,,,,,,,,58.69239,,56.56976,,54.44714,,52.32451,,50.20189,,48.07927,,45.95664,,43.83402,,41.71139,,39.58877,,39.6,,39.6,
BIH,Bosnia and Herzegovina,,,,,,,,,,,5.1,,5.1,,5.1,,4.9,,4.7,,4.5,,4.3,,4.0,,4.0,,4.0,,0.3128,,0.3128,
BOL,Bolivia,,,,,,,,,,,57.94489,,55.68105,,53.41721,,51.15337,,48.88953,,46.62568,,46.62568,,46.62568,,,,,,,,46.62568,
BTN,Bhutan,,,,,,,,,,,57.60128,,56.79227,,55.97413,,55.27324,,54.47522,,53.69789,,52.94421,,52.19329,,51.44004,,50.66515,,50.42596,,44.6899,
BMU,Bermuda,,,,,,,,,,,0.01336,,0.02302,,0.03269,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,,0.07761,
BEN,Benin,,,,,,,,,,,71.86569,,71.47241,,71.07914,,70.68586,,70.29258,,69.89931,,69.50603,,69.11276,,68.71948,,68.3262,,67.93293,,64.01064,
BLZ,Belize,,,,,,,,,,,15.8,,15.76133,,15.75733,,15.75333,,15.74933,,15.74533,,15.74133,,15.73733,,15.73333,,15.72933,,15.72533,,15.72533,
BEL,Belgium,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
BLR,Belarus,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,,,,0.004,,,,
BRB,Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,Bangladesh,,,,,,,,,,,58.31077,,57.66662,,57.02246,,56.3783,,55.73415,,55.08999,,54.44584,,53.80168,,53.15752,,52.51337,,51.86921,,51.50833,
BHR,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
BHS,"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,,,,,,,,,,,50.94,,44.93667,,38.93333,,32.93,,26.92667,,26.92667,,26.92667,,,,,,,,,,,
AUT,Austria,,,,,,,,,,,4.5,,4.4,,4.4,,4.4,,,,,,,,,,,,,,,,0.04663,
AUS,Australia,,,,,,,,,,,0.165,,0.165,,0.145,,0.125,,0.105,,0.085,,0.065,,0.045,,0.035,,0.035,,0.035,,0.035,
ABW,Aruba,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
ARM,Armenia,,,,,,,,,,,12.79599,,12.30696,,11.81793,,11.3289,,10.83987,,10.35084,,9.86181,,9.37278,,8.88375,,8.39472,,8.39472,,8.39472,
ARG,Argentina,,,,,,,,,,,20.29188,,19.56624,,18.84059,,18.11494,,17.3893,,16.66365,,15.93801,,15.2,,14.5,,14.5,,14.5,,14.5,
ATG,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,2.6463,,2.6463,,2.6463,,2.6463,,2.6463,,2.6463,,2.64634,
AGO,Angola,,,,,,,,,,,19.7,,19.7,,19.66039,,25.79191,,31.92344,,38.05496,,44.18648,,50.31801,,56.44953,,62.58105,,62.6,,62.7,
AND,Andorra,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
ASM,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,,,,,,,,,,,,,,,,,30.8,,30.8,,30.8,,28.88661,,24.98121,,21.07581,,17.17042,,13.26502,,13.246,
ALB,Albania,,,,,,,,,,,28.1,,25.5,,23.0,,20.5,,17.9,,15.4,,12.9,,10.3,,7.8,,5.3,,2.8,,2.7,
AFG,Afghanistan,,,,,,,,,,,,,,,,,63.6,,63.6,,64.80761,,67.24795,,69.68829,,72.12863,,73.3,,73.3,,71.58904,
WLD,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6670495598342,,,,23.2298665344789,
UMC,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6863202567192,
TSS,Sub-Saharan Africa (IDA & IBRD countries),,,,,,,,,,,62.622731959983,,65.0855137966399,,63.321737194149,,61.7779151025704,,60.1173293079133,,58.4543845629285,,56.8013467570503,,55.1555090090922,,53.4876192866051,,52.2014912252275,,51.0341765823431,,53.6952031243142,
SSA,Sub-Saharan Africa (excluding high income),,,,,,,,,,,61.0719854272758,,63.9378144079846,,62.2340152641158,,60.7610340662947,,59.1605408033217,,57.5505348433359,,55.9529207300212,,54.3643937099106,,52.7546312298523,,51.5485752359662,,50.3030426559267,,53.0925728208203,
SSF,Sub-Saharan Africa,,,,,,,,,,,62.622731959983,,65.0855137966399,,63.321737194149,,61.7779151025704,,60.1173293079133,,58.4543845629284,,56.8013467570503,,55.1555090090921,,53.4876192866051,,52.2014912252275,,51.0341765823431,,53.6952031243142,
TSA,South Asia (IDA & IBRD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.414042323301,5.41,,,,
SAS,South Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.414042323301,5.41,,,,
SST,Small states,,,,,,,,,,,25.0665693190849,,25.5323074298531,,26.746213159822,,26.1409265384496,,25.3562084654507,,24.3844050152062,,23.3548266994163,,22.318217057062,,21.2440971197827,,21.5125168931159,,21.0992333010719,,19.7215750995892,
PRE,Pre-demographic dividend,,,,,,,,,,,64.5284409538018,,67.640809509899,,65.899835182608,,64.4750482922209,,62.9874719445761,,61.4197457377982,,59.8881344056865,,58.3968557680719,,56.9158714876908,,55.6922472899003,,54.3892461532106,,56.8089924072097,
PST,Post-demographic dividend,,,,,,,,,,,0.666367885485257,,0.637899192672052,,0.589719222654449,,1.26847363963554,,0.473427556671206,,0.957724698661612,,0.392426090180832,,0.59655277560303,,0.664984329187546,,0.685530535760152,,0.593090492806973,,0.702434575371638,
PSS,Pacific island small states,,,,,,,,,,,4.34277258287776,,11.7794600521616,,11.6994022440224,,11.1146888058898,,10.2144870973195,,9.28653576463087,,8.27908235398331,,7.31308659584267,,6.38690381248481,,6.21468759064346,,6.12906698726302,,7.60348515705194,
OSS,Other small states,,,,,,,,,,,31.6860495679584,,31.388641694204,,32.636661477486,,31.8323079783629,,30.8949676379794,,29.806056499287,,28.6135099821619,,27.359410116122,,25.9930055580918,,24.7919387417357,,24.2841957868879,,23.6545783896379,
OED,OECD members,,,,,,,,,,,6.04643350958795,,5.75584980756007,,5.44599272344654,,5.5412854624982,,4.89793038196358,,4.80957859493911,,4.32181120323857,,4.0021626134778,,3.94826197515362,,4.02819847696157,,4.00402915664647,,3.67487525235967,
INX,Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAC,North America,,,,,,,,,,,0.204831693495567,,0.204845996096287,,0.204859217014068,,0.209798940406588,,0.224621487487539,,0.22978321801819,,0.234958702200377,,0.245217609343575,,0.250506509505479,,0.216820765775293,,0.218313978516283,,0.200535611684907,
MIC,Middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0061579930515,,,,28.8555664176416,
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",,,,,,,,,,,52.9274531372599,,52.2673185760863,,50.4369039604335,,46.278275536359,,44.2995252834774,,42.417983745721,,40.3193420774875,,37.5841730452361,,36.6197046696986,,36.4490057422376,,36.0845015979647,,36.0632365153923,
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",,,,,,,,,,,52.9274531372598,,51.9980477370547,,50.1791639537393,,46.0847397139985,,44.1034205004154,,42.2198919118866,,40.1232274437939,,37.4021058000965,,36.4257712902027,,36.2500217548083,,35.8874663762627,,36.0632365153923,
MEA,"Middle East, North Africa, Afghanistan & Pakistan",,,,,,,,,,,51.034093701684,,50.1505159759739,,48.3514584419567,,44.556349506144,,42.4748074602049,,40.6028119334326,,38.2607158554765,,35.598321445159,,34.5556014293868,,34.160262751639,,34.0076328123947,,31.9116883169119,
LMC,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3659772442475,,,,,
LIC,Low income,,,,,,,,,,,62.5702153132058,,73.4325919128153,,71.8861709996385,,69.9505383232175,,67.8271514045809,,65.9801232437729,,63.7745260292218,,62.2020038504564,,61.1293145150443,,60.2832796053961,,59.296040468699,,60.3330199178896,
LMY,Low & middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1091165189742,,,,31.3182462315669,
LDC,Least developed countries: UN classification,,,,,,,,,,,61.8854378736475,,66.2187375296708,,64.8576572941128,,63.8146965524891,,62.6212838516442,,61.4331467742036,,60.2975410993849,,59.1764923034097,,58.0109119395062,,57.1360425533131,,56.3303329574983,,59.9372220277068,
TLA,Latin America & the Caribbean (IDA & IBRD countries),,,,,,,,,,,32.5616917258153,,30.8534007085571,,28.7323647149876,,26.7133325566401,,23.8555794378795,,22.1842219250512,,19.9973195097281,,19.2686829002335,,17.9485095230031,,,,,,19.0660996816303,
LAC,Latin America & Caribbean (excluding high income),,,,,,,,,,,32.9884995131684,,31.3791877038759,,29.2674062687186,,27.1380546526442,,24.2081354201682,,22.0037604330237,,19.9066634658932,,19.2681431900302,,18.0206334251222,,,,,,19.2948695887684,
LCN,Latin America & Caribbean,,,,,,,,,,,31.8963122700418,,30.2405957742623,,28.1801313266888,,26.2361965732536,,23.434523684701,,21.8165064292899,,19.7063890118242,,19.0215970171063,,17.7515272663654,,,,,,18.9214716549152,
LTE,Late-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6054216985771,
IDA,IDA total,,,,,,,,,,,63.9869187857142,,65.1846680707086,,63.5509908061528,,61.892937986381,,60.09759871959,,58.3533982152429,,56.1250988698767,,54.3914373921684,,52.5271157965629,,51.3567114928965,,50.3779666633352,,53.0400326642433,
IDX,IDA only,,,,,,,,,,,61.7978965031508,,65.6144541546184,,64.2218697078124,,62.7862574130056,,61.1085195401053,,59.5064903108235,,57.0932717317276,,55.5681228562822,,53.846837158729,,53.2122263525204,,52.8077015121727,,57.3101751363061,
IDB,IDA blend,,,,,,,,,,,66.4777094496852,,64.6383863471056,,62.6995412181253,,60.7327858367385,,58.7767454454881,,56.8388396370921,,54.83966325768,,52.8144228812424,,50.7358375715206,,48.8305964790458,,47.089924521982,,47.286629218166,
IBT,IDA & IBRD total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8236890634287,,,,30.0412420068346,
IBD,IBRD only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5204858117808,
HIC,High income,,,,,,,,,,,1.47465470663278,,1.41009377633623,,1.29066577766725,,1.77414068133687,,1.11524204519566,,1.3374021771522,,0.846611583897287,,0.938891592251605,,1.06016730960295,,1.05750247410938,,0.908712317067779,,1.09085722954023,
HPC,Heavily indebted poor countries (HIPC),,,,,,,,,,,69.1046664168502,,72.8759120600134,,70.8062101810927,,68.5377900781432,,66.2696685769575,,64.0506265009625,,61.0351070287737,,58.9960202327172,,57.2892154778996,,55.6914630031951,,55.1489530523339,,59.893305765753,
FCS,Fragile and conflict affected situations,,,,,,,,,,,47.9894126602951,,53.5412115983287,,53.1637060805639,,52.849171026722,,54.0869064145472,,52.8143091413934,,51.419691247848,,50.192869964148,,49.4906321989755,,48.9875220545805,,52.2888344644737,,53.8260523939698,
EUU,European Union,,,,,,,,,,,0.788479172971036,,0.876412034023087,,0.811729645321062,,0.745118853833836,,0.589499605044927,,0.513148705240136,,0.435839578314727,,0.356692413563361,,0.663495523387495,,0.548354084036301,,0.483545820075967,,0.494953994234709,
TEC,Europe & Central Asia (IDA & IBRD countries),,,,,,,,,,,9.70137530165526,,9.44486259858669,,8.95379012833829,,8.33040389266563,,7.69171947895047,,7.15181190647003,,6.6376306027488,,5.81393705193278,,5.76922171121432,,5.6111578973364,,5.96447433080467,,6.22171556047932,
ECA,Europe & Central Asia (excluding high income),,,,,,,,,,,18.604573424086,,17.5376357524747,,16.2855781493216,,14.8943365107163,,13.4701933549925,,12.2900748839335,,11.1326350775379,,9.45306023408239,,8.56764496905826,,8.32319564190376,,9.95184707571975,,10.3263022035245,
ECS,Europe & Central Asia,,,,,,,,,,,4.96783034636757,,4.80687302261264,,4.54132198702906,,4.21759839645723,,3.88819301899818,,3.61776475595097,,3.37616008407317,,2.84149486232652,,2.84076141243544,,2.87131790237732,,2.8869149910027,,2.79945874354867,
EMU,Euro area,,,,,,,,,,,0.304907011709152,,0.294875468201932,,0.288420877353312,,0.279394405530535,,0.16327833046377,,0.15527412285251,,0.144761946530812,,0.129626702634344,,0.127391538453474,,0.140148361843247,,0.143605327063796,,0.137702738541809,
TEA,East Asia & Pacific (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6432665002265,
EAP,East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5949673153816,
EAS,East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3262454291824,
EAR,Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0180522420133,,,,,
CEB,Central Europe and the Baltics,,,,,,,,,,,2.5422269247775,,2.97688361038355,,2.72849412542638,,2.46488572826486,,2.13920247762326,,1.83460467790716,,1.51446384276154,,1.31207154208033,,2.86917232784721,,2.18915006174788,,1.88264489039568,,2.24326885450914,
CSS,Caribbean small states,,,,,,,,,,,12.749348483905,,12.8757755907828,,12.9012808666491,,12.471455368796,,12.0265859052486,,11.4738189510222,,11.0680442308665,,10.8489879298093,,10.842078151526,,,,,,10.9705245809153,
ARB,Arab World,,,,,,,,,,,36.7597954093843,,43.4030605483939,,41.1676367906979,,36.4157656622094,,33.3767618625815,,30.6628820217562,,27.3541947256243,,24.0802212780144,,22.9252192772352,,22.6948484799713,,23.010577972456,,22.1959791985855,
AFW,Africa Western and Central,,,,,,,,,,,71.4314037217867,,69.1572249153725,,66.7186339960076,,64.1956002330861,,61.701105447158,,59.1579374690046,,56.6249405241548,,54.0983626897392,,51.5889403859443,,49.4260178079421,,47.4722696848658,,50.4769497078826,
AFE,Africa Eastern and Southern,,,,,,,,,,,53.0745618670272,,61.3049695824075,,60.1572624822773,,59.5196084542759,,58.6299664470787,,57.790996000654,,56.9687578581527,,56.1601022182889,,55.2941457715788,,54.836165235398,,54.4014430090981,,56.7209519898935,
