economy,Country,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
GNB,Guinea-Bissau,,0.062,,,,0.198,0.1,,0.301,,0.191,0.22,0.252,
GIN,Guinea,,,,,0.161,0.083,0.081,,0.219,,,,0.21,
GTM,Guatemala,,,,,,,,0.286,0.363,,1.281,,,
GUM,Guam,,,,,,,,,,,,,,
GRD,Grenada,,,,,,,,1.352,1.383,,,,,
GRL,Greenland,,,,,,,,,,,,,,
GRC,Greece,5.756,5.774,5.778,5.811,5.867,5.902,6.122,6.067,6.105,6.163,6.186,6.366,6.576,
GIB,Gibraltar,,,,,,,,,,,,,,
GHA,Ghana,0.091,0.095,0.093,0.1,0.108,0.114,0.123,0.089,0.144,0.104,0.166,0.128,0.143,0.266
DEU,Germany,3.757,3.849,3.922,4.015,4.088,4.12,4.166,4.226,4.287,4.373,4.443,4.503,4.534,
GEO,Georgia,4.679,4.747,4.75,4.799,5.081,5.313,6.351,6.478,7.51,7.452,5.121,5.287,5.538,5.642
GMB,"Gambia, The",,,,,,0.096,,0.099,0.124,0.077,0.078,0.104,0.104,0.09
GAB,Gabon,,,,,,,0.34,0.653,0.618,0.603,0.586,,0.521,
PYF,French Polynesia,,,,,,,,,,,,,,
FRA,France,3.345,3.124,3.139,3.156,3.169,3.184,3.2,3.217,3.214,3.243,3.252,3.264,3.281,
FIN,Finland,3.44,3.543,3.556,3.386,3.448,3.421,3.42,3.437,3.463,3.566,3.61,3.609,,
FJI,Fiji,,,,0.77,,0.813,,,,,,,,
FRO,Faroe Islands,,,,,,,,,,,,,,
ETH,Ethiopia,,,,,,,,,0.075,0.089,0.102,0.1,0.105,0.143
SWZ,Eswatini,,0.098,,,,,0.093,0.18,0.238,,0.138,,0.561,0.557
EST,Estonia,3.244,3.294,3.284,3.335,3.361,3.417,3.457,3.468,3.483,3.469,3.479,3.43,3.469,
ERI,Eritrea,0.044,0.045,0.05,0.056,0.066,0.068,0.072,0.071,0.088,0.077,0.088,0.085,0.088,
GNQ,Equatorial Guinea,,,,,,,,0.325,,,,,0.153,
SLV,El Salvador,,,,,,,1.5662,,2.963,,,2.94,1.566,1.616
EGY,"Egypt, Arab Rep.",,,,,0.73,0.763,0.763,0.743,0.716,0.697,0.671,,,
ECU,Ecuador,1.283,1.382,1.561,1.645,1.684,1.806,2.055,2.225,2.341,2.32,2.313,,,
DOM,Dominican Republic,,1.507,,,,,,,1.426,1.431,1.948,2.029,2.234,2.426
DMA,Dominica,,,,,,,,1.168,1.158,,,,,
DJI,Djibouti,,,,,0.201,,,,,,,,0.211,
DNK,Denmark,3.726,3.789,3.837,3.849,3.877,3.93,3.999,4.109,4.196,4.251,4.377,4.498,,
CZE,Czechia,3.599,3.637,3.676,3.689,3.9345,3.9516,4.0194,4.0676,4.069,4.112,4.153,4.246,4.352,
CYP,Cyprus,2.127,2.206,2.236,2.326,2.396,2.498,2.594,2.651,2.789,2.928,3.197,3.355,3.556,
CUW,Curacao,,,,,,,,,,,,,,
CUB,Cuba,6.772,6.957,7.26,7.408,7.582,7.803,8.003,8.187,8.505,8.677,9.291,9.542,,
HRV,Croatia,2.861,2.918,2.999,3.042,3.153,3.21,3.265,3.404,3.497,3.59,3.606,3.734,3.909,
CIV,Cote d'Ivoire,,0.14,,,0.214,,,,0.351,0.149,0.153,0.167,0.162,0.166
CRI,Costa Rica,2.317,2.384,2.471,2.556,2.659,1.806,1.955,2.101,2.253,2.376,2.494,2.564,2.687,
COG,"Congo, Rep.",0.111,0.114,,,,,0.102,,0.099,,,,0.173,
COD,"Congo, Dem. Rep.",,,,0.085,,,,,,0.162,,0.171,0.208,
COM,Comoros,,,0.181,,,,0.291,,0.285,,0.441,,0.424,
COL,Colombia,1.666,1.754,1.814,1.884,1.96,2.022,2.088,2.163,2.242,2.317,2.394,2.467,,2.535
CHN,China,1.46,1.485,1.562,1.658,1.711,1.797,1.888,2.003,2.122,2.255,2.385,2.517,3.112,
CHL,Chile,1.423,1.575,1.735,1.868,2.016,2.138,2.286,2.43,2.569,2.627,2.798,2.979,3.178,3.334
CHI,Channel Islands,,,,,,,,,,,,,,
TCD,Chad,,,0.04,0.042,0.043,0.048,0.036,0.042,0.05,0.052,0.058,0.056,0.082,0.085
CAF,Central African Republic,,,,,,0.07,,,0.069,,,0.022,0.029,0.074
CYM,Cayman Islands,,,,,,,,,,,,,,
CAN,Canada,2.0384,,2.3962,2.4509,2.4961,2.5388,2.3105,2.6102,2.411,2.418,2.415,2.444,2.814,2.819
CMR,Cameroon,0.087,0.091,,,,,,,0.131,,0.098,0.126,0.136,
KHM,Cambodia,0.227,0.224,0.163,0.14,0.167,0.15,0.197,0.195,0.211,0.211,,,,
CPV,Cabo Verde,0.573,0.571,0.508,0.601,0.461,0.743,0.731,0.659,0.711,0.743,0.725,0.732,0.718,0.73
BDI,Burundi,0.045,0.037,0.049,0.053,0.056,0.046,,0.094,0.094,,0.069,0.076,0.078,
BFA,Burkina Faso,0.044,0.037,0.046,0.045,0.047,0.063,0.062,0.082,0.082,0.091,0.096,0.101,0.148,
BGR,Bulgaria,3.747,3.838,3.868,3.953,3.978,4.041,4.107,4.184,4.217,4.236,4.277,4.296,4.328,
BRN,Brunei Darussalam,1.435,1.522,1.469,1.595,1.485,1.75,,1.578,1.763,,,1.886,,
VGB,British Virgin Islands,,,,,,,,,,,,,,
BRA,Brazil,,1.87,,1.906,,,,2.198,,2.351,,2.191,,2.357
BWA,Botswana,0.403,0.395,0.388,,,,0.371,,0.402,0.395,0.433,0.422,0.407,0.379
BIH,Bosnia and Herzegovina,1.749,1.839,1.914,1.997,2.083,2.107,2.146,2.163,2.457,2.584,,,,
BOL,Bolivia,0.433,0.461,,,,,1.569,1.016,,1.088,0.961,1.284,,
BTN,Bhutan,,,0.271,0.28,0.333,0.339,0.4,0.31,0.421,0.336,0.486,0.561,0.553,
BMU,Bermuda,,,,,,,,,,,,,,
BEN,Benin,0.052,0.054,,,,,0.045,,0.073,0.06,,0.205,0.19,0.216
BLZ,Belize,,,1.157,,,,,1.131,1.086,,,,,
BEL,Belgium,2.909,2.915,2.933,3.131,3.16,3.221,3.28,3.292,3.355,3.424,3.506,3.537,3.574,
BLR,Belarus,3.511,3.794,3.885,3.939,4.082,4.255,4.372,4.427,4.486,4.546,4.605,4.686,4.669,4.717
BRB,Barbados,,,,,,,,2.541,,,2.616,2.871,2.958,
BGD,Bangladesh,0.352,0.373,0.39,0.412,0.478,0.476,0.489,0.535,0.573,0.63,0.661,0.677,0.717,0.722
BHR,Bahrain,0.971,1.001,1.023,0.998,0.974,0.927,0.83,0.76,0.729,0.687,0.741,,,
BHS,"Bahamas, The",,2.233,,,,,,1.895,,,,,,
AZE,Azerbaijan,3.617,3.397,3.449,3.413,3.401,3.328,3.262,3.197,3.236,3.148,3.125,3.123,3.185,
AUT,Austria,4.827,4.875,4.927,5.018,5.076,5.124,5.129,5.182,5.241,5.318,5.344,5.432,5.432,5.515
AUS,Australia,3.345,3.296,3.293,3.356,3.432,3.486,3.557,3.656,3.726,3.808,3.895,3.976,4.086,
ABW,Aruba,,,,,,,,,,,,,,
ARM,Armenia,2.79,2.822,2.859,2.878,2.883,2.919,2.887,2.903,2.893,3.026,3.163,3.255,3.36,
ARG,Argentina,,,4.823,4.884,4.925,4.98,5.024,5.094,5.167,5.25,5.304,5.384,5.437,5.106
ATG,Antigua and Barbuda,,,,,,,,2.917,,,,,,
AGO,Angola,,,,,,,,0.212,0.211,,,,0.244,
AND,Andorra,2.949,3.136,3.112,3.165,3.297,3.754,4.058,4.119,4.535,4.392,4.587,4.758,5.157,5.068
ASM,American Samoa,,,,,,,,,,,,,,
DZA,Algeria,,,,,,,1.819,,1.708,0.973,,,1.66,
ALB,Albania,1.243,1.229,1.27,1.276,,,1.212,,,1.645,1.879,,,
AFG,Afghanistan,0.244,0.258,0.246,0.29,0.304,0.29,0.284,0.245,0.303,0.214,0.253,,,0.317
WLD,World,1.49072687954301,,,,,,,,,,,,1.86069862599317,
UMC,Upper middle income,1.50006643726107,,,,,,,,,,,,2.53357000280186,
TSS,Sub-Saharan Africa (IDA & IBRD countries),0.183321233009679,,,,,,,,,,,,0.249646655931918,
SSA,Sub-Saharan Africa (excluding high income),0.201880142206923,,,,,,,,,,,,0.261259841171875,
SSF,Sub-Saharan Africa,0.183321233009679,,,,,,,,,,,,0.249646655931918,
TSA,South Asia (IDA & IBRD),,,,,,,,,,,,,0.734049151018125,
SAS,South Asia,,,,,,,,,,,,,0.734049151018125,
SST,Small states,1.21610408829536,,,,,,,,,,,,1.8737611859239,
PRE,Pre-demographic dividend,0.191266513031363,,,,,,,,,,,,0.264731280529343,
PST,Post-demographic dividend,3.14970989539366,,,,,,,,,,,,3.71573160058024,
PSS,Pacific island small states,0.345272246559031,,,,,,,,,,,,,
OSS,Other small states,1.39755160111887,,,,,,,,,,,,1.82890468087854,
OED,OECD members,2.72938135324437,,,,,,,,,,,,3.42958657784355,
INX,Not classified,,,,,,,,,,,,,,
NAC,North America,,,,,,,,,,,,,3.59100809174329,
MIC,Middle income,1.17949297950593,,,,,,,,,,,,1.59618735892324,
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",,,,,,,,,,,,,1.12125410560683,
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",,,,,,,,,,,,,1.12862230709656,
MEA,"Middle East, North Africa, Afghanistan & Pakistan",0.95570555441206,,,,,,,,,,,,1.29878377722747,
LMC,Lower middle income,,,,,,,,,,,,,0.733639153717961,
LIC,Low income,0.396787139584859,,,,,,,,,,,,0.380341544310346,
LMY,Low & middle income,1.10101675963696,,,,,,,,,,,,1.4874939012268,
LDC,Least developed countries: UN classification,0.190139468867876,,,,,,,,,,,,0.308365019188705,
TLA,Latin America & the Caribbean (IDA & IBRD countries),1.89688111335972,,,,,,,,,,,,2.45380103637718,
LAC,Latin America & Caribbean (excluding high income),2.00652544349378,,,,,,,,,,,,2.58485046274083,
LCN,Latin America & Caribbean,1.99648880487945,,,,,,,,,,,,2.57421521940574,
LTE,Late-demographic dividend,1.75623626976471,,,,,,,,,,,,2.93965818365123,
IDA,IDA total,0.374629909149653,,,,,,,,,,,,0.511390512085274,
IDX,IDA only,0.259412654205372,,,,,,,,,,,,0.373015488929292,
IDB,IDA blend,0.577797098185083,,,,,,,,,,,,0.765422848110841,
IBT,IDA & IBRD total,1.20487119074909,,,,,,,,,,,,1.55107014441075,
IBD,IBRD only,1.59906693830764,,,,,,,,,,,,1.94046412974585,
HIC,High income,3.23743131733575,,,,,,,,,,,,3.78180276726561,
HPC,Heavily indebted poor countries (HIPC),0.106407444908056,,,,,,,,,,,,0.200202665629356,
FCS,Fragile and conflict affected situations,0.496676883180873,,,,,,,,,,,,0.52751400922641,
EUU,European Union,3.47349785369353,,,,,,,,,,,,4.15125312082381,
TEC,Europe & Central Asia (IDA & IBRD countries),3.34628339961149,,,,,,,,,,,,3.71843177913449,
ECA,Europe & Central Asia (excluding high income),2.59469978935536,,,,,,,,,,,,2.8530317107131,
ECS,Europe & Central Asia,3.43692249315009,,,,,,,,,,,,3.89695746074466,
EMU,Euro area,3.67050504242481,,,,,,,,,,,,4.18889179561968,
TEA,East Asia & Pacific (IDA & IBRD countries),1.14263478359337,,,,,,,,,,,,2.3382424600285,
EAP,East Asia & Pacific (excluding high income),1.17108426112459,,,,,,,,,,,,2.35417104796866,
EAS,East Asia & Pacific,1.27762802277028,,,,,,,,,,,,2.39850920121295,
EAR,Early-demographic dividend,,,,,,,,,,,,,1.02202255025474,
CEB,Central Europe and the Baltics,2.7389623986153,,,,,,,,,,,,3.90795171540262,
CSS,Caribbean small states,1.26490310561646,,,,,,,,,,,,2.52508013216043,
ARB,Arab World,,,,,,,,,,,,,1.1767238952236,
AFW,Africa Western and Central,0.210365597083694,,,,,,,,,,,,0.258635594198467,
AFE,Africa Eastern and Southern,0.164466780026955,,,,,,,,,,,,0.243384946439894,
